Port,TCP,UDP,SCTP,DCCP,
5022,Unofficial,,,,
5025,Yes,Yes,,,
5029,,Unofficial,,,
5031,Unofficial,Unofficial,,,
5037,Unofficial,,,,
5044,Yes,,,,
5048,Yes,,,,
5050,Unofficial,,,,
5051,Yes,,,,
5060,Yes,Yes,,,
5061,Yes,,,,
5062,Yes,Yes,,,
5064,Yes,Yes,,,
5065,Assigned,Yes,,,
5070,Unofficial,No,,,
5080,Unofficial,Unofficial,,,
5084,Yes,Yes,,,
5085,Yes,Yes,,,
5090,Unofficial,Unofficial,,,
5093,,Yes,,,
5099,Yes,Yes,,,
5104,Unofficial,,,,
5121,Unofficial,,,,
5124,Unofficial,Unofficial,,,
5125,Unofficial,Unofficial,,,
5150,Yes,Yes,,,
5151,Yes,,,,
5151,,Yes,,,
5154,Yes,Yes,,,
5172,Yes,,,,
5173,Unofficial,,,,
5190,Yes,Yes,,,
5198,,Unofficial,,,
5199,,Unofficial,,,
5200,Unofficial,,,,
5201,Unofficial,Unofficial,,,
5222,Yes,Reserved,,,
5223,Unofficial,,,,
5223,Unofficial,,,,
5228,Yes,,,,
5228,Unofficial,,,,
5231,Yes,,,,
5232,Yes,,,,
5232,Unofficial,,,,
5235-5236,Unofficial,,,,
5242,Unofficial,Unofficial,,,
5243,Unofficial,Unofficial,,,
5246,,Yes,,,
5247,,Yes,,,
5269,Yes,,,,
5280,Yes,,,,
5281,Unofficial,,,,
5298,Yes,Yes,,,
5310,Assigned,Yes,,,
5318,Yes,Reserved,,,
5349,Yes,Yes,,,
5349,Yes,Yes,,,
5349,Yes,Reserved,,,
5351,Reserved,Yes,,,
5353,Assigned,Yes,,,
5355,Yes,Yes,,,
5357,Unofficial,Unofficial,,,
5358,Unofficial,Unofficial,,,
5394,,Unofficial,,,
5402,Yes,Yes,,,
5405,Yes,Yes,,,
5412,Yes,Yes,,,
5413,Yes,Yes,,,
5417,Yes,Yes,,,
5421,Yes,Yes,,,
5432,Yes,Assigned,,,
5433,Unofficial,,,,
5445,,Unofficial,,,
5450,Unofficial,Unofficial,,,
5457,Unofficial,,,,
5458,Unofficial,,,,
5480,Unofficial,,,,
5481,Unofficial,,,,
5495,Unofficial,,,,
5498,Unofficial,,,,
5499,,Unofficial,,,
5500,Unofficial,,,,
5500,Unofficial,,,,
5501,Unofficial,,,,
5517,Unofficial,,,,
5550,Unofficial,,,,
5554,Unofficial,Unofficial,,,
5555,Unofficial,Unofficial,,,
5555,Unofficial,,,,
5555,Unofficial,,,,
5556,Yes,Yes,,,
5568,Yes,Yes,,,
5601,Unofficial,,,,
5631,Yes,,,,
5632,,Yes,,,
5656,Unofficial,,,,
5666,Unofficial,,,,
5667,Unofficial,,,,
5670,Yes,,,,
5670,,Yes,,,
5671,Yes,Assigned,,,
5672,Yes,Assigned,Yes,,
5678,Unofficial,No,,,
5678,No,Yes,,,
5683,Yes,Yes,,,
5684,Yes,Yes,,,
5693,Unofficial,,,,
5701,Unofficial,,,,
5718,Unofficial,,,,
5719,Unofficial,,,,
5722,Yes,Yes,,,
5723,Unofficial,,,,
5724,Unofficial,,,,
5741,Yes,Yes,,,
5742,Yes,Yes,,,
5800,Unofficial,,,,
5800,Unofficial,,,,
5900,Yes,Yes,,,
5900,Unofficial,,,,
5905,Unofficial,,,,
5931,Yes,Yes,,,
5938,Unofficial,Unofficial,,,
5984,Yes,Yes,,,
5985,Yes,,,,
5986,Yes,,,,
5988-5989,Yes,,,,
6000-6063,Yes,Yes,,,
6005,Unofficial,,,,
6005,Unofficial,,,,
6009,Unofficial,,,,
6024-6025,,Unofficial,,,
6026,Unofficial,,,,
6030-6031,,Unofficial,,,
6050,Unofficial,,,,
6051,Unofficial,,,,
6086,Yes,,,,
6100,Unofficial,,,,
6100,Unofficial,,,,
6101,Unofficial,,,,
6110,Yes,Yes,,,
6111,Yes,Yes,,,
6112,Yes,Yes,,,
6112,Unofficial,Unofficial,,,
6112,Unofficial,,,,
6113,Unofficial,,,,
6136,Unofficial,,,,
6159,Yes,,,,
6160,Unofficial,,,,
6161,Unofficial,,,,
6162,Unofficial,,,,
6163,Unofficial,,,,
6164,Unofficial,,,,
6165,Unofficial,,,,
6167,Unofficial,,,,
6170,Unofficial,,,,
